date,maturities_available,calendar_violations,calendar_free,worst_variance_drop,min_forward_variance,skew_index,risk_neutral_skewness,iv_VIX9D,theta_VIX9D,iv_VIX,theta_VIX,iv_VIX3M,theta_VIX3M,iv_VIX6M,theta_VIX6M,iv_VIX1Y,theta_VIX1Y
2025-02-18,5,0,True,0.0,0.026192928571428565,183.12,-8.312000000000001,0.132,0.0004296328767123288,0.1535,0.0019366232876712327,0.1782,0.008091061150684932,0.1932,0.01902104284931507,0.20329999999999998,0.041330889999999995
2024-12-24,5,0,True,0.0,0.024007895714285712,180.09,-8.009,0.10890000000000001,0.0002924188767123288,0.1427,0.0016736950684931506,0.172,0.00753784109589041,0.1928,0.018942362301369864,0.20800000000000002,0.04326400000000001
2025-01-22,5,0,True,0.0,0.024680932857142852,179.98,-7.997999999999999,0.13570000000000002,0.0004540559178082193,0.151,0.0018740547945205477,0.17809999999999998,0.008081982821917808,0.19390000000000002,0.019159126191780826,0.204,0.04161599999999999
2025-01-23,5,0,True,0.0,0.02451021142857143,179.32,-7.9319999999999995,0.13419999999999999,0.00044407331506849307,0.1502,0.0018542498630136986,0.1752,0.007820928,0.1918,0.018746374356164382,0.2016,0.04064256
2025-02-20,5,0,True,0.0,0.027269159999999994,178.57,-7.856999999999999,0.1346,0.0004467244931506849,0.1566,0.0020156350684931504,0.1801,0.008264517616438356,0.1966,0.019696411397260274,0.2057,0.042312489999999994
2025-02-19,5,0,True,0.0,0.026000545714285714,175.76,-7.575999999999999,0.1306,0.0004205677808219178,0.1527,0.0019164895890410958,0.1793,0.00819125909589041,0.1941,0.01919867030136986,0.20420000000000002,0.04169764000000001
2024-12-05,5,0,True,0.0,0.02034355428571428,173.93,-7.393000000000001,0.1168,0.000336384,0.1354,0.0015068350684931504,0.16579999999999998,0.007004209643835615,0.18359999999999999,0.017177716602739725,0.2024,0.04096576
2024-12-26,5,0,True,0.0,0.02519940428571429,173.72,-7.372,0.11630000000000001,0.00033351016438356175,0.14730000000000001,0.0017833389041095893,0.1736,0.007678732273972603,0.1938,0.019139369424657535,0.20739999999999997,0.04301475999999999
2025-01-24,5,0,True,0.0,0.024393454285714284,173.16,-7.316,0.1288,0.00040905468493150686,0.1485,0.0018125136986301368,0.17550000000000002,0.007847734931506851,0.1924,0.018863844821917806,0.2018,0.04072324
2024-12-17,5,0,True,0.0,0.02829560999999999,173.04,-7.303999999999999,0.13390000000000002,0.0004420901095890412,0.15869999999999998,0.0020700567123287665,0.1813,0.008375016904109588,0.19870000000000002,0.02011943654794521,0.2114,0.04468996
2025-01-21,5,0,True,0.0,0.023624395714285717,173.0,-7.3,0.1431,0.0005049273698630137,0.1506,0.001864139178082192,0.175,0.0078030821917808215,0.19210000000000002,0.0188050637260274,0.2022,0.04088484
2024-12-04,5,0,True,0.0,0.020076357142857135,172.45,-7.244999999999999,0.11599999999999999,0.0003317917808219177,0.13449999999999998,0.001486869863013698,0.16390000000000002,0.006844598712328768,0.183,0.017065627397260273,0.20079999999999998,0.04032063999999999
2024-09-19,5,0,True,0.0,0.028884888571428555,171.72,-7.172,0.1466,0.0005299288767123289,0.16329999999999997,0.002191799178082191,0.1907,0.009265982383561645,0.2004,0.020465177424657536,0.2152,0.04631104
2024-12-02,5,0,True,0.0,0.019393959999999995,170.65,-7.065,0.1186,0.00034683189041095886,0.1334,0.0014626487671232874,0.1634,0.0068029015890410955,0.1805,0.016602538356164383,0.1981,0.03924361
2024-12-23,5,0,True,0.0,0.03088730285714286,170.65,-7.065,0.1476,0.0005371831232876713,0.1678,0.0023142608219178084,0.1865,0.008862326712328767,0.2032,0.02104105380821918,0.21239999999999998,0.04511375999999999
